Title,Price,Image URL,Specifications
"Laptop Acer Nitro V 16 ANV16-41 16"" 165Hz R5 8645HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarny Funkcje AI",3 999.00 zł,"https://f00.esfr.pl/foto/5/171675903889/4b3b6bf2265cd9f980d8a5cd2db418ce/acer-laptop-nitro-v-16-r5-16gb-512gb-4050-w11,171675903889_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 165 Hz', 'Procesor': 'AMD Ryzen™ 5 8645HS', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 4050 + AMD Radeon™ 760M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop HP OmniBook 5 16-af1068nw 16"" Ultra 5 225U 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",3 799.00 zł,"https://f00.esfr.pl/foto/7/186933024801/5fa5d98fb4f50512b43fc3029149813f/hp-laptop-hp-ob5-ai-16-u5-16-512-w11,186933024801_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli', 'Procesor': 'Intel® Core™ Ultra 5 15gen 225U', 'Pamięć': '16 GB  LPDDR5 7467 Mhz RAM', 'Grafika': 'Intel®  Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Apple MacBook Air 2026 13,6"" M5 10/8 16GB RAM 512GB Dysk macOS Północ Funkcje AI",5 999.00 zł,"https://f00.esfr.pl/foto/9/187426966385/1979b73bd56fec95f1989c3fc8c12bb4/apple-macbook-air-2026-13-6-m5-10-8-16gb-ram-512gb-dysk-macos-polnoc-funkcje-ai,187426966385_7.webp","{'Ekran': '13,6 "",  2560 x 1664 pikseli', 'Procesor': 'Apple M5', 'Pamięć': '16 GB  zunifikowana RAM', 'Grafika': 'Apple  M5 (8-rdzeni)', 'Dysk': '512 GB SSD', 'System operacyjny': 'macOS'}"
"Laptop 2w1 HP OmniBook 5 Flip 14-fp0220nw 14"" Core 5 120U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2 999.00 zł,"https://f00.esfr.pl/foto/6/176320510209/d9fa07ab7fd129cc598e9866b79a6f89/hp-laptop-hp-ob5-flip-14-c5-16-512-w11,176320510209_7.webp","{'Ekran': '14 "", ekran dotykowy 1920 x 1200 pikseli', 'Procesor': 'Intel® Core™ 5 14gen 120U', 'Pamięć': '16 GB  LPDDR5 5200 Mhz RAM', 'Grafika': 'Intel®  Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop 2w1 HP OmniBook X Flip 14-fk0020nw OLED 14"" Ryzen AI 5 340 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",3 699.00 zł,"https://f00.esfr.pl/foto/9/184149434617/851cfd1f24874ffa235383809490620d/hp-laptop-hp-ob-x-f-14-r5ai-16-512gb-w11,184149434617_7.webp","{'Ekran': '14 "", ekran dotykowy 1920 x 1200 pikseli', 'Procesor': 'AMD Ryzen™ AI 5 340', 'Pamięć': '16 GB  LPDDR5x 7500 Mhz RAM', 'Grafika': 'AMD  Radeon™ 840M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo LOQ 15IRX10 15,6"" 144Hz i5-13450HX 16GB RAM 512GB Dysk SSD RTX5060 Win11 Szary Funkcje AI",4 299.00 zł,"https://f00.esfr.pl/foto/6/167445677297/7fae9d00bd2f97fe77441ddaf44cdbcb/lenovo-loq-15irx10-15-6-144hz-i5-13450hx-16gb-ram-512gb-dysk-ssd-rtx5060-win11-szary,167445677297_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i5 13gen 13450HX', 'Pamięć': '16 GB  DDR5 4800 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy ASUS TUF Gaming A16 FA608UHI-R7165 16"" 144Hz Ryzen 7 260 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Szary Funkcje AI",3 699.00 zł,"https://f00.esfr.pl/foto/3/191218312345/a6a85f7dd8da87e60abdd2042757109a/asus-laptop-asus-a16-r7-16-512-5050-nos,191218312345_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 144 Hz', 'Procesor': 'AMD Ryzen™ 7 260', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + \tAMD Radeon™ 780M', 'Dysk': '512 GB SSD', 'System operacyjny': 'bez systemu'}"
Laptop gamingowy ASUS TUF Gaming A18 FA808UM-S9016W 18'' 240Hz Ryzen 7 260 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Szary Funkcje AI,5 999.00 zł,"https://f00.esfr.pl/foto/9/170730989945/a4903865452a1b47fa25ebdcf1945bfa/asus-tuf-gaming-a18-2025-fa808um-s9016w-18-240hz-ryzen-7-260-16gb-ram-512gb-dysk-ssd-rtx5060-dlss4-win11-szary,170730989945_7.webp","{'Ekran': '18 "",  2560 x 1600 pikseli 240 Hz', 'Procesor': 'AMD Ryzen™ 7 260', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX 5060', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop HP OmniBook 5 16-ag1030nw 16"" Ryzen AI 7 350 24GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2 799.00 zł,"https://f00.esfr.pl/foto/4/186932971225/af6d8abecfd43742cd925cdd1a16766a/hp-lpatop-hp-ob5-16-rai-7-24-512-w11,186932971225_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli', 'Procesor': 'AMD Ryzen™ AI 7 350', 'Pamięć': '24 GB  LPDDR5x 7500 Mhz RAM', 'Grafika': 'AMD  Radeon™ 860M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy HP Victus 15-fb3081nw 15,6"" 144Hz R5 240 24GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarno-srebrny Funkcje AI",4 199.00 zł,"https://f00.esfr.pl/foto/3/184149394993/b9651e7c3f9a0ea4d7ef481235dce21/hp-laptop-hp-vic-15-r5-24-512gb-5050-w11,184149394993_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'AMD Ryzen™ 5 240', 'Pamięć': '24 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 760M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
